,Unnamed: 0,PGC,GWGC,HyperLEDA,2MASS,SDSS-DR12,flag,RA,dec,Luminosity Distance,Distance Error,Redshift,Absolute B Magnitude,Luminosity_Rank,B Luminosity,Sector
384,858,18602.0,NGC2196,NGC2196,06120963-2148212,,G,93.040138,-21.805908,36.823082086599996,,0.007252,-21.0316,0.00023029170352792402,20353542107.847733,2032.0
4975,5451,,,ESO555-033,06052954-1902007,,G,91.373123,-19.033539,115.875344453,,0.024016,-21.018,0.0032546287141167578,20100182471.13703,2032.0
5528,6004,18518.0,ESO556-001,ESO556-001,06094827-1943414,,G,92.451157,-19.728193,97.2181693792,,0.019065,-20.8227,0.003610580027698783,16791132937.35518,2032.0
16671,17155,18708.0,ESO556-005,ESO556-005,06150721-1925064,,G,93.780052,-19.418455,80.604412625,,0.017891999999999998,-20.5728,0.010761543614757913,13338899486.619295,2032.0
19521,20006,,,858653,06043032-1911275,,G,91.12635,-19.190994,117.42387191,,0.036327,-20.1858,0.012555084220587452,9339422013.789268,2032.0
20760,21245,18444.0,ESO555-036,ESO555-036,06074179-1954439,,G,91.924164,-19.912216,92.4029283124,,0.0201952900976,-21.1284,0.01330882118939773,22251536243.85601,2032.0
23242,23729,,,861222,06053131-1859167,,G,91.380478,-18.987986,119.821875544,,0.022054,-20.5127,0.01482895878596885,12620599932.219296,2032.0
28289,28777,18369.0,ESO555-029,ESO555-029,06042746-2021135,,G,91.114426,-20.353769,43.78580172979999,,0.00830655415328,-19.4767,0.0179246665353357,4860489396.238666,2032.0
28607,29096,18435.0,ESO555-035,ESO555-035,06072487-1854348,,G,91.853653,-18.909681,104.102530261,,0.025135,-20.8043,0.018104590067963958,16508970823.58717,2032.0
28642,29132,,,,06093691-2006104,,G,92.403816,-20.102907,95.5649468683,,0.044287,-19.1925,0.018126203250507383,3741105882.720522,2032.0
29859,30349,,,868631,06051823-1823539,,G,91.325989,-18.398319,116.86148974,,0.033475,-19.8584,0.01885934004317153,6908122019.644836,2032.0
31183,31673,18712.0,ESO556-006,ESO556-006,06151088-1926394,,G,93.795364,-19.444294,77.6347333938,,0.015883,-20.6553,0.019636417436126315,14391961879.24096,2032.0
31411,31901,,,849893,06151269-1949554,,G,93.80291,-19.832075,113.75244352799999,,0.027055000000000003,-20.2778,0.01977228942302196,10165295315.591259,2032.0
31682,32172,,,853795,06090200-1932384,,G,92.258347,-19.54401,117.28103468399999,,0.037348,-19.8511,0.01992703206011181,6861830721.678578,2032.0
32345,32835,,,18516,06094582-2140234,,G,92.440941,-21.673193,169.49975222700002,,0.043045,-21.2228,0.020307627286676344,24272806848.713287,2032.0
34302,34792,,,867747,06114488-1828154,,G,92.937027,-18.470955,225.84562341900002,,0.049468,-21.1621,0.02142703652721079,22953028714.959858,2032.0
34473,34963,,,ESO556-003,06113634-1924033,,G,92.901451,-19.400944,170.031012255,,0.042032,-20.7916,0.02153246405999903,16316988220.098944,2032.0
34818,35308,,,6dFJ0611482-192631,06114822-1926304,,G,92.95092,-19.44179,168.156111871,,0.034108,-20.8006,0.021724884076185343,16452806877.441088,2032.0
34863,35353,,,ESO555-031,06045767-1904539,,G,91.240311,-19.08165,124.20306345200001,,0.07803099999999999,-19.1487,0.02175518369832192,3593188491.2985773,2032.0
34915,35405,,,873238,06073788-1804019,,G,91.907837,-18.067213,223.369850628,,0.04745,-21.4601,0.021784901633822296,30202298810.44113,2032.0
34953,35443,18454.0,ESO555-037,ESO555-037,06080291-1913270,,G,92.012154,-19.224169,96.965471954,,0.040379000000000005,-19.8901,0.02180438546128222,7112790218.554269,2032.0
35916,36407,148349.0,PGC148349,PGC148349,06053610-1900277,,G,91.400452,-19.007711,99.9238346785,,0.031239,-19.1263,0.02236420536501576,3519816315.046924,2032.0
37063,37554,,,846566,06171154-2004469,,G,94.298096,-20.079712,272.831120141,,0.047024,-21.6285,0.02302216317453416,35269556611.30865,2032.0
43756,44249,148348.0,PGC148348,PGC148348,06053491-1852307,,G,91.395485,-18.87521,142.92123550600002,,0.032162,-20.3945,0.025519688255465103,11318789936.554226,2032.0
43757,44250,148466.0,PGC148466,PGC148466,06090756-1739298,,G,92.281509,-17.658295000000006,125.46495518299999,,0.028294,-19.7396,0.025519917093679217,6192129065.83879,2032.0
43758,44251,148471.0,PGC148471,PGC148471,06092189-1956454,,G,92.341232,-19.945965,161.24730909,,0.035654000000000005,-19.9515,0.025520195249754418,7526620170.564823,2032.0
43759,44252,148473.0,PGC148473,PGC148473,06092556-1936484,,G,92.356522,-19.613461,98.4686761073,,0.0232,-19.4745,0.02552037451188334,4850650679.999719,2032.0
45447,45940,849747.0,PGC849747,PGC849747,06115238-1950364,,G,92.968277,-19.843458,181.659451405,,0.040927,-20.3803,0.02600271211743357,11171718911.390856,2032.0
45448,45941,850008.0,PGC850008,PGC850008,06101962-1949222,,G,92.581764,-19.822861,147.43507158399999,,0.033224000000000004,-20.135,0.026003041490853987,8912509381.337477,2032.0
51263,51756,4079711.0,6dFJ0613079-180907,6dFJ0613079-180907,06130790-1809067,,G,93.282921,-18.151878,73.82796686260001,,0.0174554187277,-17.3111,0.027491865631358917,661363160.4748429,2032.0
94470,94963,,,148462,06090258-2055414,,G,92.260788,-20.928179,189.81938443099997,,0.042602,-20.2777,0.045487818601840105,10164359100.407835,2032.0
113601,114094,,,825940,06113415-2137013,,G,92.892296,-21.61705,166.772220674,,0.0369665284833,-19.0906,0.055042800778197634,3405963582.066448,2032.0
113721,114214,,,830682,06103041-2115051,,G,92.626709,-21.251432,205.641730207,,0.046434,-20.6936,0.05510245747219002,14908707698.154497,2032.0
113806,114299,,,834171,06122661-2059242,,G,93.110909,-20.99008,187.93727372,,0.042255,-20.8721,0.05514731880357457,17572760902.509914,2032.0
113925,114418,,,838351,06150942-2040574,,G,93.789291,-20.682625,241.33824326799999,,0.054127,-21.0311,0.05521178155837955,20344171113.2351,2032.0
113927,114420,,,838374,06093359-2040524,,G,92.389961,-20.681236,274.78573749099996,,0.06128,-20.909,0.055213037696707684,18180256237.742664,2032.0
113929,114422,,,838524,06115515-2040084,,G,92.979813,-20.669016,185.65465258700002,,0.041785,-20.0185,0.05521362064198227,8005712689.353616,2032.0
114088,114581,,,844432,06064877-2014288,,G,91.703239,-20.241352,201.82789937599998,,0.045556,-20.1829,0.055296303360324366,9314509714.828156,2032.0
114166,114659,,,846936,06112350-2003040,,G,92.847931,-20.051132,252.31236819400002,,0.056477,-21.5507,0.055337562809743265,32830689216.99486,2032.0
114194,114687,,,847804,06021944-1958557,,G,90.581009,-19.982159,176.14469648,,0.039335,-20.4323,0.05535188179985066,11719794590.684805,2032.0
114357,114850,,,854310,06131652-1930198,,G,93.318848,-19.505501,280.966291515,,0.062598,-20.6533,0.055429379556656416,14365475308.258312,2032.0
114519,115012,,,861084,06052532-1859587,,G,91.355507,-18.999643,122.870149223,,0.027703,-19.8862,0.05550815205129705,7087286675.3835125,2032.0
114537,115030,,,861766,06052235-1856439,,G,91.34314,-18.945538,262.434736436,,0.058636,-21.3291,0.0555181168443071,26769484003.311672,2032.0
114728,115221,,,868759,06093388-1823184,,G,92.391197,-18.388458,255.891372495,,0.057242,-21.1113,0.05562258519562239,21903826965.967632,2032.0
114859,115352,,,874019,06141985-1800499,,G,93.582733,-18.013872,277.609482841,,0.06188,-21.3732,0.0556943253893059,27879180265.057186,2032.0
114948,115441,,,878197,06131483-1744451,,G,93.311806,-17.745886,223.04665995599998,,0.05025,-20.911,0.05573645791883918,18213776371.047745,2032.0
137697,138190,,,6dFJ0605401-184544,06054013-1845447,,G,91.417213,-18.762434,148.905076195,,0.033488,-19.6795,0.06559864156209738,5858683000.573781,2032.0
137699,138192,,,6dFJ0607079-181749,06070791-1817488,,G,91.782982,-18.296907,230.441828583,,0.051809,-20.2038,0.06559917420488005,9495547268.065079,2032.0
137701,138194,,,6dFJ0613279-182937,06132789-1829368,,G,93.366249,-18.493561,226.460236737,,0.050962825481400006,-20.165,0.0655999470448484,9162204901.22003,2032.0
143222,143715,,,148332,06044197-1906506,,G,91.174881,-19.114056,169.404407394,,0.037652,-19.6156,0.06826969162922275,5523826128.63219,2032.0
143240,143733,,,148470,06092001-1815054,,G,92.333397,-18.251520000000006,219.470606822,,0.04949,-20.5599,0.0682784866961319,13181353282.150505,2032.0
143241,143734,,,148485,06094432-2119304,,G,92.434708,-21.325136,199.494097879,,0.044866,-19.9907,0.06827877507839775,7803330476.861391,2032.0
155552,156045,,,828333,06120221-2126072,,G,93.009224,-21.435343,263.21967041700003,,0.058813,-20.2546,0.07311452314570223,9950387639.87643,2032.0
155607,156100,,,830999,06104714-2113482,,G,92.696449,-21.230061,228.212283909,,0.051302,-20.5697,0.07313495487040858,13300868506.20567,2032.0
155622,156115,,,831709,06105158-2110302,,G,92.71492,-21.17506,231.705289469,,0.052053,-20.2887,0.07314097337184318,10267861453.298494,2032.0
155671,156164,,,833423,06110802-2102460,,G,92.783417,-21.046125,206.826724635,,0.046715,-19.813,0.07315799184861949,6625215359.025815,2032.0
155792,156285,,,838054,06110035-2042190,,G,92.751472,-20.705278,262.71504911700004,,0.058704,-20.3214,0.0731993747786413,10581810990.19493,2032.0
155954,156447,,,845385,06182150-2010129,,G,94.589592,-20.170265,277.994292808,,0.061972,-20.5402,0.073257308466062,12944342630.929136,2032.0
156170,156663,,,854478,06105324-1929352,,G,92.72187,-19.493114,193.801971267,,0.043508,-19.9648,0.07333346131228176,7619386428.126552,2032.0
156172,156665,,,854501,06175612-1929288,,G,94.483856,-19.491356,246.32793344200002,,0.055203,-20.0796,0.07333405276457823,8469153415.15763,2032.0
156230,156723,,,857219,06034643-1917422,,G,90.943466,-19.295061,133.68012039799999,,0.029937,-18.8923,0.07335481461588025,2837396312.5829477,2032.0
156253,156746,,,858285,06011996-1912547,,G,90.333206,-19.215202,268.41041106299997,,0.059908,-20.863000000000003,0.07336311127704596,17426091898.259342,2032.0
156363,156856,,,862759,06183521-1852059,,G,94.646744,-18.868319,225.79479588400002,,0.050816,-19.9226,0.07340226976844416,7328920318.811206,2032.0
156378,156871,,,863063,06052037-1850319,,G,91.334885,-18.842207,149.59071719,,0.033615,-20.5295,0.07340755940393633,12817401835.54093,2032.0
156464,156957,,,865974,06130510-1836517,,G,93.271286,-18.614374,250.035534262,,0.055993,-20.183,0.07343764695617648,9315367652.385756,2032.0
