,Unnamed: 0,PGC,GWGC,HyperLEDA,2MASS,SDSS-DR12,flag,RA,dec,Luminosity Distance,Distance Error,Redshift,Absolute B Magnitude,Luminosity_Rank,B Luminosity,Sector
6659,7138,,,NGC6313,17102078+4819542,,G,257.586609,48.331741,111.76025280100001,,0.023903,-21.3684,0.0043678899634206824,27756199477.165333,404.0
6903,7383,,,UGC10814,17192134+4902256,,G,259.83892799999995,49.04047,109.702609037,,0.024503,-21.0251,0.004508079449569975,20232055142.113518,404.0
11156,11657,,,59762,17105840+4624210,,G,257.743347,46.405861,163.149782985,,0.033106000000000003,-21.4439,0.007268004048531119,29755003110.453743,404.0
12537,13045,,,59895,17141920+4544570,,G,258.580017,45.749176,123.057973892,,0.029157,-20.9105,0.008166298274225355,18205390548.111317,404.0
13593,14107,,,60067,17191445+4858496,,G,259.810211,48.980453,110.07216749,,0.030159,-20.3634,0.008836633785375327,10999172167.212908,404.0
14044,14561,,,59901,17142709+4558018,,G,258.612915,45.96719,123.102695779,,0.033166,-20.4833,0.009101967067032705,12283439750.85848,404.0
14842,15362,,,60027,17175615+4828039,,G,259.483978,48.467751,127.01843336,,0.023309,-20.6813,0.009614743967948338,14740764231.38715,404.0
15519,16053,60207.0,UGC10838,UGC10838,17235367+4828447,,G,260.973633,48.479111,70.597266054,,0.024275,-19.7379,0.010064828190156784,6182441277.408439,404.0
17980,18549,,,UGC10846,17242301+4955453,,G,261.095886,49.929256,129.589918853,,0.037842,-20.4319,0.011647411917954105,11715477654.051971,404.0
19956,20559,,,59928,17150358+4740358,,G,258.764954,47.676617,129.549582518,,0.027227,-20.4292,0.012897020364580292,11686379894.144413,404.0
22803,23474,,,59977,17161781+4718135,,G,259.074249,47.303757,127.631986403,,0.026778,-20.3198,0.014669722074065356,10566228541.631884,404.0
27370,28207,,,59939,17151546+4827323,,G,258.814423,48.458977,118.544487718,,0.025534,-20.1394,0.017568143961089494,8948701053.869696,404.0
28818,29723,,,60347,17281833+5018233,,G,262.076416,50.306499,240.270658432,,0.039537,-21.6345,0.01848303371038051,35465002924.73202,404.0
32930,34060,,,UGC10754,17121313+4632076,,G,258.054749,46.535458,161.016373544,,0.040988,-20.7194,0.021015487198271416,15267221272.46082,404.0
32968,34100,60170.0,PGC060170,PGC060170,17224281+4811339,,G,260.678406,48.192768,71.8671356439,,0.033596,-19.7127,0.021037718251927167,6040598910.725225,404.0
41092,42583,60077.0,PGC060077,PGC060077,17193109+4742089,,G,259.879578,47.70248400000001,70.08771854359999,,0.0168207984104,-19.2182,0.025054973564179833,3830716391.312911,404.0
77086,83156,,,59810,17121377+4746386,,G,258.057404,47.777405,166.073701673,,0.037416000000000005,-20.7955,0.03940860442759515,16375704768.83584,404.0
77091,83164,,,59905,17143322+4824037,,G,258.638428,48.401035,78.4583595735,,0.018785,-19.9212,0.0394141328733353,7319476149.903115,404.0
